,total_sqft,bath,balcony,price,site_location,bhk
203,900.0,2.0,1.0,27.0,Alwal,2
204,1150.0,2.0,1.0,41.0,Alwal,2
205,1007.0,2.0,2.0,48.0,Alwal,2
206,1691.0,3.0,2.0,119.0,Alwal,3
207,1107.0,2.0,1.0,57.0,Alwal,2
208,1129.0,2.0,1.0,69.0,Alwal,2
209,1108.0,2.0,1.0,60.0,Alwal,3
210,2700.0,3.0,2.0,200.0,Alwal,3
211,1105.0,2.0,1.0,35.4,Alwal,2
212,1100.0,2.0,3.0,90.0,Alwal,2
213,865.0,2.0,2.0,33.0,Alwal,2
214,1590.0,2.0,2.0,102.0,Alwal,2
215,1630.0,3.0,2.0,110.0,Alwal,3
217,705.0,1.0,0.0,34.545,Alwal,1
218,1081.0,2.0,1.0,52.0,Alwal,2
219,1160.0,2.0,2.0,44.08,Alwal,2
221,1612.0,3.0,1.0,98.38,Alwal,3
222,1140.0,2.0,1.0,33.06,Alwal,2
223,1200.0,2.0,1.0,34.65,Alwal,2
225,1910.0,3.0,2.0,131.0,Alwal,3
227,1610.0,3.0,2.0,81.0,Amangal,3
229,1787.0,3.0,2.0,98.29,Amangal,3
231,1125.0,4.0,1.0,70.0,Amangal,3
232,1500.0,2.0,1.0,87.0,Amangal,3
233,1400.0,2.0,2.0,77.0,Amangal,3
235,1891.0,3.0,1.0,109.0,Amangal,3
237,697.0,1.0,0.0,45.0,Amangal,1
238,1200.0,3.0,1.0,130.0,Amangal,3
239,1790.0,3.0,2.0,127.0,Amangal,3
241,2070.0,3.0,3.0,162.0,Amangal,3
242,4000.0,4.0,2.0,330.0,Amangal,4
243,3500.0,6.0,2.0,225.0,Amangal,4
245,1754.0,3.0,2.0,125.0,Amangal,3
246,1605.0,3.0,2.0,85.0,Amangal,3
247,1404.0,2.0,1.0,75.0,Amangal,2
248,1145.0,2.0,2.0,65.0,Amangal,2
249,11338.0,9.0,1.0,1000.0,Amangal,6
250,1352.5,2.0,0.0,93.865,Amangal,2
251,700.0,1.0,1.0,41.0,Amangal,1
255,2408.0,4.0,2.0,260.0,Amangal,3
256,1315.0,2.0,1.0,85.4,Amangal,3
257,1208.0,2.0,2.0,70.0,Amangal,2
258,1100.0,2.0,2.0,56.1,Amangal,2
259,1645.0,3.0,2.0,135.0,Amangal,3
260,1374.0,3.0,2.0,68.0,Amangal,3
261,2000.0,3.0,3.0,185.0,Amangal,3
264,3252.0,4.0,3.0,280.0,Amangal,4
266,1280.0,2.0,2.0,75.0,Amangal,2
268,1145.0,2.0,1.0,75.0,Amangal,2
269,2162.0,3.0,1.0,200.0,Amangal,3
279,814.0,2.0,1.0,42.0,Amangal,2
283,1750.0,3.0,3.0,86.5,Amangal,3
284,1418.0,2.0,2.0,105.0,Amangal,2
285,605.0,1.0,1.0,40.0,Amangal,1
286,1178.0,2.0,3.0,82.0,Amangal,2
288,1541.0,2.0,2.0,130.0,Amangal,2
290,3990.0,4.0,1.0,260.0,Amangal,4
291,654.0,1.0,1.0,36.25,Amangal,1
293,1655.0,3.0,2.0,97.0,Amangal,3
295,1345.0,2.0,1.0,97.0,Amangal,2
299,1007.0,2.0,1.0,75.0,Amangal,2
301,1240.0,2.0,1.0,63.0,Amangal,3
302,1855.0,3.0,3.0,140.0,Amangal,3
305,1350.0,2.0,1.0,88.0,Amangal,2
306,1636.0,3.0,2.0,83.0,Amangal,3
310,1305.0,2.0,1.0,110.0,Amangal,3
312,800.0,2.0,2.0,55.0,Amangal,2
315,1115.0,2.0,1.0,61.0,Amangal,2
316,625.0,1.0,1.0,27.0,Amangal,1
319,2215.0,4.0,2.0,162.0,Amangal,3
321,1495.0,3.0,2.0,90.0,Amangal,3
322,485.0,1.0,1.0,19.5,Amangal,1
323,420.0,1.0,1.0,12.5,Amangal,1
325,950.0,2.0,1.0,55.0,Amangal,2
328,1200.0,2.0,0.0,120.0,Amangal,2
329,540.0,1.0,2.0,24.0,Amangal,1
330,1035.0,2.0,2.0,60.0,Amangal,2
331,3124.0,6.0,3.0,349.0,Amangal,4
333,1056.0,2.0,1.0,39.07,Amberpet,2
334,2894.0,4.0,1.0,245.0,Amberpet,4
335,1084.0,2.0,2.0,50.0,Amberpet,2
336,1230.0,2.0,2.0,80.0,Amberpet,2
337,1750.0,3.0,2.0,130.0,Amberpet,3
338,995.0,2.0,1.0,41.0,Amberpet,2
340,1360.0,2.0,1.0,95.0,Amberpet,2
341,1040.0,2.0,2.0,50.0,Amberpet,2
342,1655.0,3.0,2.0,86.06,Amberpet,3
343,2790.0,5.0,3.0,198.0,Amberpet,4
344,1028.0,2.0,1.0,42.0,Amberpet,2
345,1300.0,2.0,3.0,57.0,Amberpet,2
346,1564.0,3.0,1.0,101.0,Amberpet,3
347,1012.0,2.0,1.0,59.0,Amberpet,2
348,2519.0,5.0,2.0,185.0,Amberpet,4
349,1520.0,2.0,3.0,62.0,Amberpet,2
350,1550.0,3.0,2.0,78.0,Amberpet,3
351,950.0,2.0,1.0,46.5,Amberpet,2
352,1350.0,2.0,1.0,79.0,Amberpet,2
353,1500.0,2.0,0.0,85.0,Amberpet,3
354,1150.0,2.0,2.0,77.5,Amberpet,3
355,1080.0,2.0,2.0,75.0,Amberpet,3
356,1743.0,3.0,2.0,93.25,Amberpet,3
357,984.0,2.0,1.0,45.91,Amberpet,2
358,1225.0,2.0,2.0,55.0,Amberpet,2
359,1100.0,2.0,1.0,50.0,Amberpet,2
360,1210.0,2.0,1.0,75.0,Amberpet,2
361,1250.0,2.0,2.0,72.0,Amberpet,2
362,900.0,2.0,2.0,42.0,Amberpet,2
363,1075.0,2.0,2.0,52.43,Amberpet,2
364,1265.0,2.0,2.0,82.0,Amberpet,2
365,900.0,2.0,1.0,41.0,Amberpet,2
367,1100.0,2.0,1.0,48.0,Amberpet,2
368,1850.0,3.0,2.0,90.0,Amberpet,3
369,1475.0,2.0,2.0,74.0,Amberpet,3
370,1265.0,2.0,1.0,65.0,Amberpet,3
371,1300.0,2.0,2.0,98.0,Amberpet,2
372,937.0,2.0,1.0,35.0,Amberpet,2
373,1000.0,2.0,2.0,58.0,Amberpet,2
374,700.0,2.0,0.0,43.0,Amberpet,2
375,1265.0,2.0,2.0,46.6,Amberpet,2
376,1008.0,2.0,2.0,32.25,Amberpet,2
377,2072.0,4.0,2.0,155.0,Amberpet,3
379,7000.0,4.0,3.0,550.0,Amberpet,4
380,1102.0,2.0,0.0,52.0,Amberpet,2
381,1020.0,2.0,1.0,46.5,Amberpet,2
382,1855.0,3.0,2.0,145.0,Amberpet,3
383,1181.0,2.0,1.0,75.0,Amberpet,2
385,1130.0,2.0,1.0,45.2,Amberpet,2
386,1065.0,2.0,2.0,55.0,Amberpet,2
387,1540.0,3.0,3.0,85.0,Amberpet,3
388,1246.0,2.0,1.0,67.4,Amberpet,2
389,500.0,1.0,1.0,30.0,Amberpet,1
390,1080.0,2.0,2.0,45.0,Amberpet,2
391,1756.0,3.0,2.0,128.0,Amberpet,3
392,914.0,2.0,1.0,32.0,Amberpet,2
393,1150.0,2.0,0.0,36.8,Amberpet,2
394,2144.6,4.0,2.0,145.0,Amberpet,3
396,1856.0,3.0,2.0,135.0,Amberpet,3
397,1800.0,4.0,1.0,125.0,Amberpet,3
398,1338.0,2.0,1.0,103.0,Amberpet,2
400,2480.0,2.0,1.0,160.0,Amberpet,2
401,3596.0,5.0,1.0,279.0,Amberpet,4
403,2400.0,5.0,2.0,200.0,Amberpet,5
404,1565.0,2.0,2.0,69.0,Amberpet,2
405,1185.0,2.0,1.0,51.15,Amberpet,2
406,1091.0,2.0,1.0,33.82,Amberpet,2
407,1135.0,2.0,2.0,68.0,Amberpet,2
408,2658.0,5.0,3.0,189.0,Amberpet,4
409,1830.0,4.0,2.0,150.0,Amberpet,3
410,1685.0,3.0,3.0,115.0,Amberpet,3
411,890.0,2.0,1.0,40.0,Amberpet,2
412,1260.0,2.0,1.0,75.0,Amberpet,3
413,674.0,1.0,1.0,19.9,Amberpet,2
414,1049.0,2.0,1.0,51.0,Amberpet,2
415,945.0,2.0,1.0,35.0,Amberpet,2
417,1194.0,2.0,1.0,51.0,Amberpet,2
418,1189.0,2.0,1.0,45.0,Amberpet,2
419,1339.0,2.0,1.0,53.56,Amberpet,2
420,1350.0,2.0,3.0,68.0,Amberpet,2
422,1244.0,2.0,2.0,88.0,Amberpet,2
423,1719.0,3.0,2.0,135.0,Amberpet,3
424,416.0,1.0,1.0,17.19,Amberpet,1
425,1041.0,2.0,2.0,54.0,Amberpet,2
426,705.0,1.0,1.0,65.0,Amberpet,1
429,1027.0,2.0,2.0,44.0,Amberpet,2
430,1801.0,3.0,2.0,115.0,Amberpet,3
431,1205.0,2.0,2.0,37.0,Amberpet,2
432,1105.0,2.0,1.0,39.5,Amberpet,2
433,1089.0,2.0,1.0,40.0,Amberpet,2
434,925.0,2.0,1.0,49.82,Amberpet,3
435,1255.0,3.0,1.0,90.0,Amberpet,3
436,1200.0,2.0,2.0,45.0,Amberpet,2
438,1200.0,2.0,0.0,75.0,Amberpet,2
440,1630.0,2.0,1.0,98.0,Ameerpet,3
441,1225.0,2.0,2.0,47.6,Ameerpet,2
442,2000.0,4.0,0.0,120.0,Ameerpet,4
443,1460.0,2.0,1.0,58.0,Ameerpet,2
444,4500.0,7.0,3.0,337.0,Ameerpet,5
445,1020.0,2.0,1.0,40.0,Ameerpet,2
446,1019.0,2.0,2.0,49.85,Ameerpet,2
447,2376.0,3.0,1.0,203.0,Ameerpet,3
448,1300.0,2.0,1.0,50.0,Ameerpet,2
449,530.0,1.0,1.0,20.0,Ameerpet,1
450,1960.0,3.0,3.0,160.0,Ameerpet,3
451,1380.0,2.0,1.0,80.0,Ameerpet,2
454,1552.0,2.0,1.0,51.0,Ameerpet,2
455,1460.0,2.0,2.0,72.0,Ameerpet,3
456,3606.0,4.0,2.0,312.0,Ameerpet,4
457,1156.0,2.0,2.0,32.0,Ameerpet,2
458,1090.0,2.0,0.0,58.0,Ameerpet,2
459,2039.0,3.0,2.0,168.0,Ameerpet,3
460,987.0,2.0,1.0,49.0,Ameerpet,2
461,850.0,2.0,3.0,28.0,Ameerpet,2
462,1045.0,2.0,2.0,76.77,Ameerpet,2
463,1050.0,2.0,1.0,38.0,Ameerpet,2
464,1155.0,2.0,2.0,40.6,Ameerpet,2
465,1270.0,2.0,1.0,69.85,Ameerpet,2
466,1600.0,5.0,3.0,140.0,Ameerpet,5
467,1662.0,3.0,2.0,85.5,Ameerpet,3
468,1083.0,2.0,1.0,32.49,Ameerpet,2
469,1680.0,3.0,2.0,85.0,Ameerpet,3
472,1320.0,2.0,2.0,73.0,Ameerpet,3
473,1390.0,2.0,2.0,80.0,Ameerpet,3
475,2651.0,2.0,2.0,225.0,Ameerpet,3
476,1430.0,2.0,2.0,75.0,Ameerpet,3
478,1560.0,3.0,1.0,115.0,Ameerpet,3
479,1600.0,2.0,2.0,160.0,Ameerpet,3
480,1700.0,3.0,2.0,95.0,Ameerpet,3
481,1169.0,2.0,1.0,64.0,Ameerpet,2
482,1367.0,2.0,2.0,62.0,Ameerpet,2
483,1290.0,2.0,3.0,40.63,Ameerpet,2
484,1103.0,2.0,1.0,55.0,Ameerpet,2
485,1300.0,3.0,0.0,75.0,Ameerpet,4
486,1155.0,2.0,1.0,55.5,Ameerpet,2
487,1477.0,2.0,2.0,80.0,Ameerpet,3
488,3895.0,2.0,1.0,451.0,Ameerpet,4
489,1120.0,2.0,3.0,53.0,Ameerpet,2
490,970.0,2.0,1.0,55.0,Ameerpet,2
492,1000.0,2.0,1.0,38.5,Ameerpet,2
494,1500.0,2.0,3.0,82.0,Ameerpet,3
495,1476.0,3.0,1.0,125.0,Ameerpet,3
496,2400.0,3.0,1.0,150.0,Ameerpet,3
497,909.0,2.0,1.0,40.9,Ameerpet,2
498,1200.0,3.0,1.0,68.4,Ameerpet,3
500,1120.0,2.0,2.0,44.24,Ameerpet,2
501,1800.0,3.0,2.0,90.0,Ameerpet,3
502,1155.0,2.0,1.0,40.6,Ameerpet,2
503,1175.0,2.0,1.0,47.0,Ameerpet,2
504,1250.0,2.0,2.0,60.0,Ameerpet,2
505,1440.0,3.0,2.0,72.0,Ameerpet,3
507,1250.0,2.0,2.0,65.0,Ameerpet,2
510,664.0,1.0,1.0,35.4,Ameerpet,1
511,2300.0,3.0,2.0,142.0,Ameerpet,3
512,1500.0,2.0,1.0,50.0,Ameerpet,2
513,1133.0,2.0,2.0,40.0,Ameerpet,2
514,2504.0,3.0,3.0,138.0,Ameerpet,3
515,1110.0,2.0,2.0,110.0,Ameerpet,2
516,960.0,2.0,1.0,55.0,Ameerpet,2
517,1464.0,2.0,2.0,56.0,Ameerpet,2
518,1420.0,2.0,1.0,75.0,Ameerpet,3
519,1108.0,2.0,1.0,63.0,Ameerpet,2
520,975.0,2.0,1.0,50.0,Ameerpet,2
521,1295.0,2.0,1.0,55.47,Ameerpet,2
522,966.0,2.0,2.0,50.0,Ameerpet,2
523,1715.0,2.0,2.0,100.0,Ameerpet,3
525,945.0,2.0,1.0,45.0,Ameerpet,2
526,1817.0,3.0,2.0,110.0,Ameerpet,3
527,1698.0,2.0,1.0,105.0,Ameerpet,2
528,1333.0,2.0,1.0,86.65,Ameerpet,2
529,1976.0,3.0,1.0,145.0,Ameerpet,3
530,1935.0,4.0,2.0,125.0,Ameerpet,3
531,1320.0,2.0,2.0,65.0,Ameerpet,3
532,4500.0,4.0,3.0,345.0,Ameerpet,4
533,1752.12,3.0,2.0,125.0,Ameerpet,3
534,1184.0,2.0,1.0,78.0,Ameerpet,2
535,1100.0,3.0,2.0,58.0,Ameerpet,3
536,975.0,2.0,1.0,24.86,Ameerpet,2
537,1445.0,2.0,1.0,89.56,Ameerpet,3
538,1756.0,3.0,2.0,110.0,Ameerpet,3
539,1205.0,2.0,1.0,67.0,Ameerpet,2
540,1125.0,2.0,2.0,55.0,Ameerpet,2
541,1270.0,2.0,2.0,45.0,Ameerpet,2
542,1680.0,2.0,3.0,92.0,Ameerpet,3
543,1750.0,3.0,1.0,185.0,Ameerpet,4
544,720.0,1.0,2.0,28.0,Ameerpet,1
545,1655.0,3.0,2.0,113.0,Ameerpet,3
546,1354.0,2.0,2.0,71.0,Ameerpet,2
547,1660.0,3.0,1.0,110.0,Ameerpet,3
548,1360.0,2.0,2.0,73.0,Ameerpet,3
549,1150.0,2.0,2.0,45.0,Ameerpet,2
550,1477.0,2.0,1.0,69.5,Ameerpet,3
551,2511.0,3.0,3.0,205.0,Ammuguda,3
553,1804.0,3.0,2.0,120.0,Ammuguda,3
555,525.0,1.0,1.0,27.25,Ammuguda,1
556,1210.0,2.0,2.0,58.0,Ammuguda,2
559,856.0,2.0,3.0,40.0,Ammuguda,2
560,2000.0,4.0,0.0,120.0,Ammuguda,4
562,1610.0,2.0,2.0,111.0,Ammuguda,3
563,1564.0,2.0,1.0,92.0,Ammuguda,3
565,1070.0,2.0,1.0,55.0,Ammuguda,2
566,1743.0,3.0,2.0,85.0,Ammuguda,3
567,1550.0,3.0,3.0,110.0,Ammuguda,3
568,950.0,1.0,1.0,50.0,Ammuguda,1
570,1139.0,2.0,2.0,56.85,Ammuguda,2
572,1370.0,2.0,2.0,75.0,Ammuguda,3
574,1365.0,2.0,2.0,73.0,Ammuguda,2
575,1570.0,3.0,1.0,105.0,Ammuguda,3
578,1500.0,3.0,3.0,100.0,Ammuguda,3
579,1530.0,2.0,1.0,97.0,Ammuguda,3
580,669.0,1.0,1.0,36.85,Ammuguda,1
581,1645.0,3.0,2.0,117.0,Ammuguda,3
582,2320.0,3.0,2.0,170.0,Ammuguda,3
584,1342.0,2.0,2.0,115.0,Ammuguda,2
585,1254.0,2.0,2.0,70.0,Ammuguda,3
587,1341.0,2.0,1.0,75.76,Ammuguda,2
588,1360.0,2.0,3.0,85.0,Ammuguda,3
589,1006.0,2.0,1.0,57.0,Ammuguda,2
590,870.0,2.0,1.0,65.0,Ammuguda,2
591,2010.0,3.0,2.0,125.0,Ammuguda,4
592,1200.0,2.0,1.0,60.0,Ammuguda,2
593,1000.0,2.0,2.0,53.0,Ammuguda,2
594,2800.0,7.0,1.0,250.0,Ammuguda,7
596,2197.0,3.0,2.0,136.0,Ammuguda,3
597,1650.0,3.0,2.0,101.0,Ammuguda,3
598,1549.0,3.0,2.0,80.0,Ammuguda,3
599,1350.0,2.0,1.0,75.0,Ammuguda,3
602,525.0,1.0,1.0,27.5,Ammuguda,1
603,1830.0,3.0,1.0,88.0,Ammuguda,3
605,1035.0,2.0,2.0,49.0,Ammuguda,2
610,1779.0,3.0,2.0,90.0,Ammuguda,3
611,1645.0,3.0,2.0,117.0,Ammuguda,3
613,775.0,1.0,0.0,39.0,Ammuguda,1
614,940.0,2.0,1.0,56.0,Ammuguda,2
615,400.0,1.0,1.0,11.5,Ammuguda,1
616,957.0,2.0,2.0,54.5,Ammuguda,2
617,770.0,1.0,1.0,70.0,Ammuguda,2
618,1170.0,2.0,2.0,59.0,Ammuguda,2
622,400.0,1.0,1.0,11.5,Ammuguda,1
623,1816.0,3.0,1.0,119.0,Ammuguda,3
624,1290.0,2.0,1.0,85.0,Ammuguda,2
625,1555.0,3.0,1.0,100.0,Ammuguda,3
626,1441.0,2.0,1.0,95.0,Ammuguda,3
630,1007.0,2.0,1.0,64.0,Ammuguda,2
631,1128.0,2.0,1.0,65.45,Ammuguda,2
632,4025.0,6.0,1.0,350.0,Ammuguda,4
633,1500.0,2.0,0.0,90.0,Ammuguda,2
634,1310.0,2.0,1.0,70.0,Ammuguda,3
635,1410.0,2.0,2.0,73.0,Ammuguda,2
637,890.0,2.0,2.0,45.0,Ammuguda,2
639,3535.0,4.0,2.0,215.0,Ammuguda,4
640,1275.0,2.0,2.0,88.0,Ammuguda,3
641,1573.0,3.0,1.0,90.0,Ammuguda,3
645,2145.0,3.0,2.0,170.0,Ammuguda,3
647,793.0,1.0,1.0,40.0,Ammuguda,1
648,2375.0,4.0,2.0,189.0,Ammuguda,4
650,1026.0,2.0,1.0,60.8,Ammuguda,2
651,5656.0,5.0,0.0,499.0,Ammuguda,3
655,1310.0,3.0,1.0,63.25,Ammuguda,3
656,1495.0,2.0,1.0,78.0,Ammuguda,2
657,2872.0,4.0,3.0,183.0,Ammuguda,4
661,950.0,2.0,1.0,40.0,Asif Nagar,2
662,1200.0,2.0,0.0,65.0,Asif Nagar,2
663,1180.0,2.0,2.0,78.34,Asif Nagar,3
664,1215.0,2.0,1.0,67.0,Asif Nagar,2
665,884.0,2.0,1.0,41.1,Asif Nagar,2
666,1036.0,2.0,1.0,50.0,Asif Nagar,2
667,6000.0,5.0,3.0,400.0,Asif Nagar,4
668,1240.0,2.0,1.0,60.0,Asif Nagar,2
669,2060.0,3.0,1.0,149.0,Asif Nagar,3
670,1890.0,4.0,3.0,127.0,Asif Nagar,3
671,1330.0,2.0,1.0,86.98,Asif Nagar,2
672,1115.0,2.0,2.0,50.0,Asif Nagar,2
673,1045.0,2.0,1.0,45.0,Asif Nagar,2
674,1070.0,2.0,1.0,54.0,Asif Nagar,2
675,1340.0,2.0,1.0,100.0,Asif Nagar,3
676,1500.0,2.0,1.0,143.0,Asif Nagar,3
677,3122.0,6.0,2.0,245.0,Asif Nagar,4
678,1089.0,2.0,1.0,43.55,Asif Nagar,2
679,3250.0,4.0,3.0,230.0,Asif Nagar,4
682,780.0,2.0,2.0,25.0,Asif Nagar,2
684,1065.0,2.0,3.0,50.0,Asif Nagar,2
685,1351.0,2.0,1.0,53.0,Asif Nagar,1
686,1146.0,2.0,1.0,39.5,Asif Nagar,2
687,1000.0,2.0,1.0,60.0,Asif Nagar,2
688,1665.0,3.0,2.0,86.91,Asif Nagar,3
689,1274.0,2.0,2.0,48.42,Asif Nagar,2
690,1819.18,3.0,1.0,160.0,Asif Nagar,3
691,1444.0,2.0,1.0,80.0,Asif Nagar,3
692,1263.0,2.0,1.0,78.0,Asif Nagar,2
693,1690.0,3.0,2.0,112.0,Asif Nagar,3
694,1500.0,3.0,3.0,95.0,Asif Nagar,3
695,709.0,1.0,0.0,34.385,Asif Nagar,1
697,1000.0,2.0,1.0,68.0,Asif Nagar,2
698,1360.0,2.0,1.0,103.0,Asif Nagar,2
699,1140.0,2.0,2.0,52.0,Asif Nagar,2
702,1174.0,2.0,1.0,75.0,Asif Nagar,2
703,1075.0,2.0,2.0,30.0,Asif Nagar,2
705,1390.0,2.0,2.0,65.0,Asif Nagar,2
706,1010.0,2.0,1.0,35.0,Asif Nagar,2
707,1250.0,2.0,1.0,60.0,Asif Nagar,2
708,2400.0,5.0,2.0,190.0,Asif Nagar,4
710,1200.0,2.0,2.0,52.5,Asif Nagar,2
