area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,Ready To Move,2 BHK,Mavelr ,1520,2,3,62,Amberpet
Plot  Area,Ready To Move,3 Bedroom,,600,2,1,80,Amberpet
Super built-up  Area,Ready To Move,3 BHK,SNity S,1550,3,2,78,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Sid 2ss,1165,2,1,135,Amberpet
Super built-up  Area,18-Apr,2 BHK,Sadhii ,950,2,1,46.5,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Vador S,1280,2,,56,Amberpet
Built-up  Area,Ready To Move,2 BHK,PSterAs,117Sq. Yards,2,2,38,Amberpet
Built-up  Area,Ready To Move,2 BHK,,1350,2,1,79,Amberpet
Plot  Area,18-Feb,3 Bedroom,,1500,2,0,85,Amberpet
Super built-up  Area,Ready To Move,4 BHK,,3250,4,,230,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1150,2,2,77.5,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1080,2,2,75,Amberpet
Built-up  Area,Ready To Move,3 BHK,,3000,3,3,400,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Moity S,1743,3,2,93.25,Amberpet
Super built-up  Area,19-Nov,2 BHK,AsastDe,984,2,1,45.91,Amberpet
Plot  Area,Ready To Move,2 Bedroom,,815,3,2,160,Amberpet
Plot  Area,Ready To Move,9 Bedroom,,4500,9,,166,Amberpet
Super built-up  Area,17-Oct,2 BHK,ArowsMe,1225,2,2,55,Amberpet
Built-up  Area,Ready To Move,2 BHK,Mamesi ,1100,2,1,50,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Srayatr,1210,2,1,75,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Veales ,1250,2,2,72,Amberpet
Super built-up  Area,Ready To Move,2 BHK,ShaleSp,900,2,2,42,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1075,2,2,52.43,Amberpet
Super built-up  Area,Ready To Move,3 BHK,DSvar S,1639,2,1,40.98,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,1265,2,2,82,Amberpet
Super built-up  Area,21-Dec,2 BHK,PrarePa,900,2,1,41,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1500,2,2,63,Amberpet
Built-up  Area,18-May,2 BHK,,1100,2,1,48,Amberpet
Super built-up  Area,Ready To Move,3 BHK,AxinoCi,1850,3,2,90,Amberpet
Built-up  Area,Ready To Move,3 BHK,,1350,2,,51,Amberpet
Built-up  Area,Ready To Move,3 BHK,Arhtsth,1475,2,2,74,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1265,2,1,65,Amberpet
Super built-up  Area,Ready To Move,2 BHK,AdadeEs,1300,2,2,98,Amberpet
Super built-up  Area,Ready To Move,3 BHK,SaignSo,1718,3,3,223,Amberpet
Plot  Area,18-May,2 Bedroom,,600,4,1,110,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Patri M,937,2,1,35,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Vincyat,1000,2,2,58,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,700,2,0,43,Amberpet
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1265,2,2,46.6,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1008,2,2,32.25,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,155,Amberpet
Super built-up  Area,18-Jan,3 BHK,,1300,3,2,45,Amberpet
Plot  Area,Ready To Move,4 Bedroom,,7000,4,3,550,Amberpet
Built-up  Area,Ready To Move,2 BHK,Rarthne,1102,2,0,52,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Krberl ,1020,2,1,46.5,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1855,3,2,145,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1181,2,1,75,Amberpet
Built-up  Area,Ready To Move,3 Bedroom,,1350,3,1,60,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1130,2,1,45.2,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Inden O,1065,2,2,55,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1540,3,3,85,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1246,2,1,67.4,Amberpet
Super built-up  Area,18-Jul,1 BHK,Maian M,500,1,1,30,Amberpet
Built-up  Area,Ready To Move,2 BHK,PancyRe,1080,2,2,45,Amberpet
Super built-up  Area,Ready To Move,3 BHK,SosicCl,1756,3,2,128,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Shthi S,914,2,1,32,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Shthi S,1150,2,0,36.8,Amberpet
Super built-up  Area,Ready To Move,3 BHK,SoisoCa,2144.6,4,2,145,Amberpet
Built-up  Area,Ready To Move,3 BHK,AritaFe,1569,3,0,70,Amberpet
Super built-up  Area,18-Aug,3 BHK,Sodgere,1856,3,2,135,Amberpet
Built-up  Area,Ready To Move,3 BHK,G conTh,1800,4,1,125,Amberpet
Super built-up  Area,20-Dec,2 BHK,Goted U,1338,2,1,103,Amberpet
Super built-up  Area,18-Jun,3 BHK,Gopia O,1360,3,0,47.6,Amberpet
Plot  Area,Ready To Move,2 Bedroom,,2480,2,1,160,Amberpet
Super built-up  Area,Ready To Move,4 BHK,Emine P,3596,5,1,279,Amberpet
Plot  Area,Ready To Move,1 Bedroom,,375,1,0,40,Amberpet
Plot  Area,Ready To Move,4 Bedroom,,2700,4,2,350,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1350,2,2,47.24,Amberpet
Plot  Area,Ready To Move,5 Bedroom,,2400,5,2,200,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1565,2,2,69,Amberpet
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1185,2,1,51.15,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Hirio L,1091,2,1,33.82,Amberpet
Plot  Area,Ready To Move,4 Bedroom,Stndeil,4700,5,3,800,Amberpet
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,125,Amberpet
Super built-up  Area,Ready To Move,2 BHK,DSutyng,1135,2,2,68,Amberpet
Super built-up  Area,18-Dec,4 BHK,Jaades ,2658,5,3,189,Amberpet
Super built-up  Area,Ready To Move,4 BHK,,3000,4,2,301,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Prtanha,1830,4,2,150,Amberpet
Built-up  Area,Ready To Move,3 BHK,RMcesa ,1907,2,1,200,Amberpet
Plot  Area,Ready To Move,5 Bedroom,,1100,5,1,165,Amberpet
Built-up  Area,18-Jul,3 BHK,NiCodCa,1685,3,3,115,Amberpet
Super built-up  Area,Ready To Move,2 BHK,MVnexde,890,2,1,40,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Mayne A,1260,2,1,75,Amberpet
Super built-up  Area,18-Dec,2 BHK,,674,1,1,19.9,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Goner C,1049,2,1,51,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Deiveer,945,2,1,35,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Asnts a,1540,3,,90,Amberpet
Super built-up  Area,Ready To Move,3 BHK,SrncyRe,1370,2,1,54.79,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1194,2,1,51,Amberpet
Built-up  Area,Ready To Move,2 BHK,,1189,2,1,45,Amberpet
Super built-up  Area,17-Oct,2 BHK,,1339,2,1,53.56,Amberpet
Super built-up  Area,Ready To Move,2 BHK,ShaleSp,1350,2,3,68,Amberpet
Super built-up  Area,Ready To Move,3 BHK,SJityaz,1665,3,2,74.93,Amberpet
Super built-up  Area,18-Dec,2 BHK,Vaniai ,1244,2,2,88,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1719,3,2,135,Amberpet
Super built-up  Area,19-Dec,1 BHK,VBn 2lm,416,1,1,17.19,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Mangsr ,1041,2,2,54,Amberpet
Super built-up  Area,Ready To Move,1 BHK,,705,1,1,65,Amberpet
Super built-up  Area,Ready To Move,3 BHK,,1589,3,2,74,Amberpet
Plot  Area,18-May,4 Bedroom,,2360,4,2,601,Amberpet
Super built-up  Area,18-May,3 BHK,Sryalan,1310,2,1,37.84,Amberpet
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,44,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1801,3,2,115,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Mailsaf,1205,2,2,37,Amberpet
Super built-up  Area,Ready To Move,2 BHK,SLireap,1105,2,1,39.5,Amberpet
Super built-up  Area,18-Dec,4 BHK,Jaades ,3504,4,,262,Amberpet
Super built-up  Area,Ready To Move,2 BHK,PhestOn,1763,3,2,240,Amberpet
Super built-up  Area,Ready To Move,2 BHK,TCncyn ,1089,2,1,40,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Assha A,925,2,1,49.82,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Ozensve,1255,3,1,90,Amberpet
Super built-up  Area,Ready To Move,2 BHK,Kr 10Ca,1200,2,2,45,Amberpet
Built-up  Area,Ready To Move,6 BHK,,1799,6,3,101,Amberpet
Super built-up  Area,Ready To Move,3 BHK,Scenth ,1600,3,2,260,Amberpet
Super built-up  Area,Ready To Move,3 BHK,AlEcone,1975,3,3,90,Amberpet
Plot  Area,Ready To Move,2 Bedroom,Anncyar,1200,2,0,75,Amberpet
Plot  Area,Ready To Move,4 Bedroom,Theanmp,2600,5,3,120,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,1330,2,1,48,Asif Nagar
Plot  Area,Ready To Move,7 Bedroom,,1800,7,1,250,Asif Nagar
Super built-up  Area,18-Jul,2 BHK,SunceEs,1015,2,2,25.88,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2,1,40,Asif Nagar
Plot  Area,Ready To Move,4 Bedroom,,1125,4,3,180,Asif Nagar
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,65,Asif Nagar
Super built-up  Area,18-Dec,3 BHK,,1180,2,2,78.34,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,PuilaMi,1215,2,1,67,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Vrenty ,884,2,1,41.1,Asif Nagar
Plot  Area,Ready To Move,3 Bedroom,,600,4,0,95,Asif Nagar
Super built-up  Area,18-Mar,2 BHK,Arcia S,1036,2,1,50,Asif Nagar
Plot  Area,Ready To Move,4 Bedroom,FeowsMe,6000,5,3,400,Asif Nagar
Plot  Area,Ready To Move,2 Bedroom,Lancy R,1240,2,1,60,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,SaireSa,2060,3,1,149,Asif Nagar
Super built-up  Area,18-Mar,3 BHK,Alestrb,1890,4,3,127,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,BrontLa,1330,2,1,86.98,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,CaaveEn,1700,3,1,180,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Malex C,1450,1,0,230,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1115,2,2,50,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,SirlsPe,1045,2,1,45,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2,1,54,Asif Nagar
Super built-up  Area,18-Aug,3 BHK,,1340,2,1,100,Asif Nagar
Built-up  Area,18-Apr,3 BHK,,1500,2,1,143,Asif Nagar
Super built-up  Area,Ready To Move,4 BHK,Prtanha,3122,6,2,245,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1089,2,1,43.55,Asif Nagar
Super built-up  Area,Ready To Move,4 BHK,,3250,4,3,230,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,1130,2,3,45.19,Asif Nagar
Built-up  Area,Ready To Move,3 BHK,,1082,2,1,49,Asif Nagar
Plot  Area,Ready To Move,4 Bedroom,,800,4,,110,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,NianaKe,780,2,2,25,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,1355,3,1,61,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1065,2,3,50,Asif Nagar
Super built-up  Area,Ready To Move,1 BHK,,1351,2,1,53,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1146,2,1,39.5,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Baowsig,1000,2,1,60,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,Puestig,1665,3,2,86.91,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Pyikad ,1274,2,2,48.42,Asif Nagar
Super built-up  Area,22-May,3 BHK,SoineC ,1819.18,3,1,160,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,NDionas,1444,2,1,80,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1263,2,1,78,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,1690,3,2,112,Asif Nagar
Super built-up  Area,Ready To Move,4 BHK,PhestOn,3436,6,3,500,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,Srmitev,1500,3,3,95,Asif Nagar
Super built-up  Area,19-Dec,1 BHK,Oreldhi,524 - 894,1,0,34.385,Asif Nagar
Super built-up  Area,18-Mar,3 BHK,,1410,2,2,45.12,Asif Nagar
Built-up  Area,Ready To Move,2 BHK,,1000,2,1,68,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Prionad,1360,2,1,103,Asif Nagar
Built-up  Area,Ready To Move,2 BHK,,1140,2,2,52,Asif Nagar
Plot  Area,Ready To Move,4 Bedroom,,1650,4,3,320,Asif Nagar
Built-up  Area,Ready To Move,4 BHK,,2560,4,2,75,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,1230,2,2,53.51,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1174,2,1,75,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,HivanBr,1075,2,2,30,Asif Nagar
Super built-up  Area,18-Aug,3 BHK,,1550,3,2,258,Asif Nagar
Super built-up  Area,17-Nov,3 BHK,AdhriPa,1260,2,1,45,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1390,2,2,65,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Srncyla,1010,2,1,35,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1250,2,1,60,Asif Nagar
Plot  Area,Ready To Move,7 Bedroom,,1500,6,0,210,Asif Nagar
Plot  Area,18-Oct,4 Bedroom,Amais V,2400,5,2,190,Asif Nagar
Plot  Area,Ready To Move,6 Bedroom,,1150,6,2,75,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,ViensRK,1576,3,2,58,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Vaent V,1200,2,2,52.5,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Itvir M,919,2,2,34,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,FoityIn,1242,2,2,65,Asif Nagar
Plot  Area,Ready To Move,6 Bedroom,,1200,4,1,110,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,913,2,1,36,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,PrawnRa,883,2,1,45,Asif Nagar
Super built-up  Area,18-Mar,3 BHK,Dieldli,1724,3,1,146,Asif Nagar
Super built-up  Area,18-Apr,3 BHK,Liwerun,1741,3,2,80,Asif Nagar
Plot  Area,Ready To Move,6 Bedroom,,600,6,3,100,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,MJilayl,1444,2,2,71.5,Asif Nagar
Built-up  Area,Ready To Move,2 BHK,BVeneSe,1395,2,0,75,Asif Nagar
Plot  Area,Ready To Move,4 Bedroom,,600,4,3,125,Asif Nagar
Plot  Area,Ready To Move,4 Bedroom,,2100,6,1,252,Asif Nagar
Plot  Area,Ready To Move,8 Bedroom,,1200,8,2,225,Asif Nagar
Super built-up  Area,Ready To Move,1 BHK,,600,1,0,47,Asif Nagar
Super built-up  Area,18-May,3 BHK,SSestth,1280,3,1,50,Asif Nagar
Built-up  Area,18-Apr,2 BHK,,1258,2,0,58,Asif Nagar
Built-up  Area,Ready To Move,3 BHK,Agtiaur,1806,3,3,85,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,VBeriav,750,2,1,36.5,Asif Nagar
Built-up  Area,18-Dec,3 Bedroom,,2600,3,2,147,Asif Nagar
Plot  Area,Ready To Move,3 Bedroom,,1200,3,,140,Asif Nagar
Plot  Area,Ready To Move,2 Bedroom,,900,2,0,55,Asif Nagar
Super built-up  Area,Ready To Move,1 BHK,,500,1,1,20,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Saandvi,1089,2,1,49,Asif Nagar
Built-up  Area,Ready To Move,2 BHK,JRaderc,1086,2,2,44.5,Asif Nagar
Super built-up  Area,19-Jun,3 BHK,Sosisic,1512,3,2,103,Asif Nagar
Plot  Area,Ready To Move,3 Bedroom,,7800,3,2,2000,Asif Nagar
Super built-up  Area,21-May,3 BHK,GolusLi,1500,3,1,72.99,Asif Nagar
Plot  Area,Ready To Move,3 Bedroom,,2000,2,0,180,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,SNity S,1215,2,1,68,Asif Nagar
Plot  Area,Ready To Move,6 Bedroom,,1680,4,1,250,Asif Nagar
Built-up  Area,Ready To Move,3 Bedroom,,2400,2,1,125,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,BrontLa,2210,3,3,165,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,1800,3,2,93,Asif Nagar
Super built-up  Area,Ready To Move,4 BHK,Prtanha,3122,6,2,245,Asif Nagar
Plot  Area,18-Dec,4 Bedroom,Putere ,2400,4,1,344,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,DencyRe,1600,2,1,90,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1452,3,3,60,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,2275,4,2,185,Asif Nagar
Built-up  Area,Ready To Move,2 BHK,Beesta ,900,2,1,72,Asif Nagar
Super built-up  Area,18-May,2 BHK,Prcesvy,1398,2,1,97,Asif Nagar
Super built-up  Area,Ready To Move,4 BHK,,3270,4,3,205,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Esave E,1340,2,3,85,Asif Nagar
Super built-up  Area,Ready To Move,5 BHK,,2800,3,2,425,Asif Nagar
Built-up  Area,Ready To Move,3 BHK,,1350,3,2,70,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,2650,4,0,175,Asif Nagar
Carpet  Area,18-Jul,1 BHK,Maian M,500,1,1,33,Asif Nagar
Super built-up  Area,19-Nov,2 BHK,AsastDe,984,2,1,45.91,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,AjhalNa,1725,3,2,106,Asif Nagar
Plot  Area,Ready To Move,5 Bedroom,,2250,5,,240,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Mairer ,1035,2,1,39,Asif Nagar
Built-up  Area,18-Dec,3 BHK,,1220,2,1,35.23,Asif Nagar
Super built-up  Area,20-Jun,3 BHK,Brstaue,1510 - 1670,3,0,76.16,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1345,2,1,57,Asif Nagar
Plot  Area,Ready To Move,4 Bedroom,,623,4,1,75,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Maows M,1107.83,2,1,41.51,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,,2400,2,3,50,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,Shthi S,1505,2,2,60,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Syonyph,1220,2,2,62,Asif Nagar
Built-up  Area,Ready To Move,2 BHK,Jaensa ,560,2,1,22,Asif Nagar
Built-up  Area,Ready To Move,2 BHK,,1200,2,2,45,Asif Nagar
Built-up  Area,Ready To Move,3 BHK,,2750,5,2,550,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,Savar S,1310,2,3,60,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1315,2,3,55,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,NDncysi,1450,2,2,73,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,S mesci,1220,2,1,55,Asif Nagar
Plot  Area,Ready To Move,2 Bedroom,,1200,1,0,50,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1150,2,1,45.99,Asif Nagar
Super built-up  Area,19-Mar,2 BHK,Orens G,1165,2,1,52,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,1160,2,2,49,Asif Nagar
Super built-up  Area,Ready To Move,2 BHK,,925,2,1,35,Asif Nagar
Super built-up  Area,18-May,3 BHK,Shestlo,1516,3,1,147,Asif Nagar
Plot  Area,Ready To Move,6 Bedroom,,1500,6,1,300,Asif Nagar
Super built-up  Area,Ready To Move,3 BHK,Somumys,1790,3,2,120,Asif Nagar
Super built-up  Area,18-Nov,2 BHK,AsastDe,1112,2,1,58,Asif Nagar
Built-up  Area,Ready To Move,3 BHK,,1490,3,0,85,Asif Nagar
Built-up  Area,Ready To Move,3 BHK,,1440,2,3,62,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,,1200,2,1,65,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Aiitya ,1200,2,2,60,Bahadurpura
Super built-up  Area,21-May,2 BHK,GolusLi,1017,2,1,51.25,Bahadurpura
Built-up  Area,20-Dec,3 BHK,,1629,3,2,79,Bahadurpura
Plot  Area,Ready To Move,5 Bedroom,,500,3,2,65,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1460,3,1,73,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,Edreelm,35000,3,3,130,Bahadurpura
Plot  Area,Ready To Move,9 Bedroom,,600,9,3,190,Bahadurpura
Plot  Area,Ready To Move,5 Bedroom,,900,3,2,80,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1300,1,1,115,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,DLhtsnd,1662,3,3,85.1,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Shyas S,1117,2,2,56,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,Srier P,1535,3,1,78,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,SNeur G,1730,3,1,96,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,Vaour S,2197,4,3,280,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,A rtsai,1400,2,1,73,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,NadriNe,1200,2,1,34,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,SosicCl,1757,3,2,132,Bahadurpura
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,125,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,83,Bahadurpura
Built-up  Area,Ready To Move,4 Bedroom,,3555,4,1,230,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,Feowsdi,1450,3,3,132,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,Sioma A,1010,2,2,46,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1290,2,1,85,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,R ra  R,1800,3,3,90,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,NDionas,2475,4,,130,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,Solia D,1776.42,3,2,105,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1050,2,1,42,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,ViisePa,1455,2,2,56,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1000,2,1,65,Bahadurpura
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,65,Bahadurpura
Super built-up  Area,Ready To Move,4 BHK,,3100,4,2,570,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1000,2,2,22,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,DSellil,1345,2,2,55,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,2400,2,0,50,Bahadurpura
Plot  Area,Ready To Move,3 Bedroom,,1350,3,1,380,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,2500,3,2,425,Bahadurpura
Built-up  Area,Ready To Move,1 Bedroom,,900,1,0,175,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1277,2,2,55,Bahadurpura
Plot  Area,Ready To Move,7 Bedroom,,1200,8,2,110,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1418,2,2,103,Bahadurpura
Plot  Area,Ready To Move,3 Bedroom,,1200,4,0,145,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,53.5,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1340,2,1,77,Bahadurpura
Built-up  Area,Ready To Move,3 BHK,DLhtsnd,1419,2,3,73,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,SaireSa,1891,3,1,109,Bahadurpura
Plot  Area,Ready To Move,4 Bedroom,,2592,4,2,250,Bahadurpura
Carpet  Area,Ready To Move,2 BHK,Mae 1Ar,1050,2,3,40,Bahadurpura
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,41.15,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,,1583,3,3,76.1,Bahadurpura
Super built-up  Area,Ready To Move,3 BHK,Soionar,1750,3,2,130,Bahadurpura
Super built-up  Area,18-Mar,3 BHK,SNontle,2466 - 2856,,,226.5,Bahadurpura
Built-up  Area,Ready To Move,2 BHK,,972,2,2,40,Bahadurpura
